('you', array([[ 0.97045196,  0.02954804]]))
('hungarian', array([[ 0.17789703,  0.82210297]]))
('cabal', array([[ 0.17784844,  0.82215156]]))
('67', array([[ 0.17744917,  0.82255083]]))
('ukrainian', array([[ 0.17744365,  0.82255635]]))
('artist', array([[ 0.17740015,  0.82259985]]))
('funding', array([[ 0.17733104,  0.82266896]]))
('hatred', array([[ 0.17727449,  0.82272551]]))
('properly', array([[ 0.17726216,  0.82273784]]))
('nightmare', array([[ 0.17722379,  0.82277621]]))
('repeated', array([[ 0.17720822,  0.82279178]]))
('model', array([[ 0.17705607,  0.82294393]]))
('abuses', array([[ 0.17704426,  0.82295574]]))
('ill', array([[ 0.17703681,  0.82296319]]))
('super', array([[ 0.17686033,  0.82313967]]))
('ad', array([[ 0.17676135,  0.82323865]]))
('png', array([[ 0.1767041,  0.8232959]]))
('wait', array([[ 0.17647097,  0.82352903]]))
('arrest', array([[ 0.1763477,  0.8236523]]))
('ca', array([[ 0.17631024,  0.82368976]]))
('wmc', array([[ 0.17623273,  0.82376727]]))
('clever', array([[ 0.1761585,  0.8238415]]))
('spend', array([[ 0.1760967,  0.8239033]]))
('thus', array([[ 0.17598596,  0.82401404]]))
('give', array([[ 0.1757999,  0.8242001]]))
('fallacy', array([[ 0.17576057,  0.82423943]]))
('prime', array([[ 0.1757351,  0.8242649]]))
('chronology', array([[ 0.17571516,  0.82428484]]))
('revert', array([[ 0.17563986,  0.82436014]]))
('cold', array([[ 0.17552571,  0.82447429]]))
('stalin', array([[ 0.17547808,  0.82452192]]))
('achieve', array([[ 0.17545847,  0.82454153]]))
('sysop', array([[ 0.17536708,  0.82463292]]))
('involving', array([[ 0.17517578,  0.82482422]]))
('accident', array([[ 0.17517549,  0.82482451]]))
('slimvirgin', array([[ 0.17517362,  0.82482638]]))
('usa', array([[ 0.17514746,  0.82485254]]))
('awesome', array([[ 0.17511075,  0.82488925]]))
('rational', array([[ 0.17509135,  0.82490865]]))
('threatened', array([[ 0.17499901,  0.82500099]]))
('censorship', array([[ 0.17490372,  0.82509628]]))
('called', array([[ 0.17481472,  0.82518528]]))
('manipulate', array([[ 0.17481313,  0.82518687]]))
('author', array([[ 0.17470009,  0.82529991]]))
('financial', array([[ 0.17464432,  0.82535568]]))
('baby', array([[ 0.17461971,  0.82538029]]))
('compared', array([[ 0.17458204,  0.82541796]]))
('substance', array([[ 0.17452935,  0.82547065]]))
('luck', array([[ 0.17450679,  0.82549321]]))
('broken', array([[ 0.1744694,  0.8255306]]))
('whilst', array([[ 0.17437736,  0.82562264]]))
('meta', array([[ 0.17435809,  0.82564191]]))
('bogus', array([[ 0.17431947,  0.82568053]]))
('readers', array([[ 0.17431151,  0.82568849]]))
('demand', array([[ 0.17429827,  0.82570173]]))
('technique', array([[ 0.17428876,  0.82571124]]))
('integrity', array([[ 0.17421174,  0.82578826]]))
('angry', array([[ 0.17418712,  0.82581288]]))
('cooperation', array([[ 0.17412627,  0.82587373]]))
('14', array([[ 0.17412286,  0.82587714]]))
('supposed', array([[ 0.17410797,  0.82589203]]))
('fix', array([[ 0.17407342,  0.82592658]]))
('least', array([[ 0.17399594,  0.82600406]]))
('tough', array([[ 0.17395969,  0.82604031]]))
('hide', array([[ 0.17394208,  0.82605792]]))
('answers', array([[ 0.17385527,  0.82614473]]))
('crusaders', array([[ 0.17372613,  0.82627387]]))
('biases', array([[ 0.17362267,  0.82637733]]))
('phil', array([[ 0.1734516,  0.8265484]]))
('misleading', array([[ 0.17344124,  0.82655876]]))
('lack', array([[ 0.17337314,  0.82662686]]))
('communists', array([[ 0.17336508,  0.82663492]]))
('continues', array([[ 0.17336009,  0.82663991]]))
('wanna', array([[ 0.17335786,  0.82664214]]))
('01', array([[ 0.17331043,  0.82668957]]))
('correct', array([[ 0.1732557,  0.8267443]]))
('unacceptable', array([[ 0.17314469,  0.82685531]]))
('them', array([[ 0.17304144,  0.82695856]]))
('zionists', array([[ 0.17303256,  0.82696744]]))
('reporting', array([[ 0.17302703,  0.82697297]]))
('eb', array([[ 0.17296643,  0.82703357]]))
('powers', array([[ 0.17295195,  0.82704805]]))
('didn', array([[ 0.17281141,  0.82718859]]))
('constitute', array([[ 0.17277388,  0.82722612]]))
('fell', array([[ 0.17265558,  0.82734442]]))
('benefit', array([[ 0.17262168,  0.82737832]]))
('americans', array([[ 0.17261695,  0.82738305]]))
('slim', array([[ 0.17249478,  0.82750522]]))
('label', array([[ 0.17247873,  0.82752127]]))
('proves', array([[ 0.17244955,  0.82755045]]))
('freestylefrappe', array([[ 0.17238997,  0.82761003]]))
('australia', array([[ 0.17233275,  0.82766725]]))
('liberal', array([[ 0.17230093,  0.82769907]]))
('lie', array([[ 0.17227489,  0.82772511]]))
('photographs', array([[ 0.17227456,  0.82772544]]))
('finger', array([[ 0.17225209,  0.82774791]]))
('harassment', array([[ 0.17217074,  0.82782926]]))
('activity', array([[ 0.17211347,  0.82788653]]))
('republic', array([[ 0.1720778,  0.8279222]]))
('misinformation', array([[ 0.17202835,  0.82797165]]))
('pleasure', array([[ 0.17197799,  0.82802201]]))
('evil', array([[ 0.17190988,  0.82809012]]))
('took', array([[ 0.17187343,  0.82812657]]))
('spics', array([[ 0.17176697,  0.82823303]]))
('songs', array([[ 0.17175641,  0.82824359]]))
('promote', array([[ 0.17175186,  0.82824814]]))
('speculator', array([[ 0.17173936,  0.82826064]]))
('calgary', array([[ 0.17173936,  0.82826064]]))
('isolated', array([[ 0.17169366,  0.82830634]]))
('motivated', array([[ 0.17168149,  0.82831851]]))
('delete', array([[ 0.17167406,  0.82832594]]))
('religious', array([[ 0.17160579,  0.82839421]]))
('spamming', array([[ 0.17152256,  0.82847744]]))
('fear', array([[ 0.17147996,  0.82852004]]))
('kelly', array([[ 0.17144116,  0.82855884]]))
('sided', array([[ 0.17143855,  0.82856145]]))
('thing2', array([[ 0.1712578,  0.8287422]]))
('resistance', array([[ 0.171219,  0.828781]]))
('none', array([[ 0.17115087,  0.82884913]]))
('realise', array([[ 0.171101,  0.828899]]))
('pretend', array([[ 0.17108796,  0.82891204]]))
('2001', array([[ 0.17096523,  0.82903477]]))
('decided', array([[ 0.17091503,  0.82908497]]))
('ii', array([[ 0.17083265,  0.82916735]]))
('46', array([[ 0.17076425,  0.82923575]]))
('reaction', array([[ 0.17074429,  0.82925571]]))
('breaking', array([[ 0.17074056,  0.82925944]]))
('making', array([[ 0.17067655,  0.82932345]]))
('wicked', array([[ 0.17063092,  0.82936908]]))
('planning', array([[ 0.170608,  0.829392]]))
('hurt', array([[ 0.17058328,  0.82941672]]))
('intent', array([[ 0.17051437,  0.82948563]]))
('accuracy', array([[ 0.17048863,  0.82951137]]))
('yourselves', array([[ 0.17039199,  0.82960801]]))
('useless', array([[ 0.17032377,  0.82967623]]))
('reverts', array([[ 0.17027612,  0.82972388]]))
('petty', array([[ 0.1700105,  0.8299895]]))
('spreading', array([[ 0.169979,  0.830021]]))
('rhobite', array([[ 0.16995145,  0.83004855]]))
('enjoy', array([[ 0.16993136,  0.83006864]]))
('abused', array([[ 0.16986102,  0.83013898]]))
('iraq', array([[ 0.16984126,  0.83015874]]))
('push', array([[ 0.1698255,  0.8301745]]))
('returning', array([[ 0.16980897,  0.83019103]]))
('credibility', array([[ 0.16977962,  0.83022038]]))
('left', array([[ 0.16976168,  0.83023832]]))
('intelligence', array([[ 0.1697544,  0.8302456]]))
('today', array([[ 0.16971462,  0.83028538]]))
('hands', array([[ 0.16969151,  0.83030849]]))
('valid', array([[ 0.16967397,  0.83032603]]))
('towns', array([[ 0.16963208,  0.83036792]]))
('problems', array([[ 0.1696292,  0.8303708]]))
('death', array([[ 0.16946182,  0.83053818]]))
('legitimate', array([[ 0.16944895,  0.83055105]]))
('partisan', array([[ 0.16938998,  0.83061002]]))
('promise', array([[ 0.16928566,  0.83071434]]))
('jack', array([[ 0.16927591,  0.83072409]]))
('zarove', array([[ 0.16927584,  0.83072416]]))
('osama', array([[ 0.16927135,  0.83072865]]))
('vandalized', array([[ 0.16914657,  0.83085343]]))
('contras', array([[ 0.16913655,  0.83086345]]))
('aol', array([[ 0.16909218,  0.83090782]]))
('negative', array([[ 0.16873095,  0.83126905]]))
('perpetuate', array([[ 0.1686569,  0.8313431]]))
('unlike', array([[ 0.16865388,  0.83134612]]))
('demonstrated', array([[ 0.16861718,  0.83138282]]))
('laugh', array([[ 0.16860954,  0.83139046]]))
('user', array([[ 0.16856235,  0.83143765]]))
('vandalised', array([[ 0.16855254,  0.83144746]]))
('plain', array([[ 0.16849812,  0.83150188]]))
('slanderous', array([[ 0.16846041,  0.83153959]]))
('database', array([[ 0.16842492,  0.83157508]]))
('eating', array([[ 0.16832934,  0.83167066]]))
('frankly', array([[ 0.16814178,  0.83185822]]))
('busy', array([[ 0.1680928,  0.8319072]]))
('respected', array([[ 0.16802587,  0.83197413]]))
('soldiers', array([[ 0.16795494,  0.83204506]]))
('attitude', array([[ 0.16793172,  0.83206828]]))
('ap', array([[ 0.16790599,  0.83209401]]))
('shi', array([[ 0.1677619,  0.8322381]]))
('spread', array([[ 0.16771451,  0.83228549]]))
('writer', array([[ 0.16768267,  0.83231733]]))
('trust', array([[ 0.16767421,  0.83232579]]))
('bye', array([[ 0.16763141,  0.83236859]]))
('express', array([[ 0.16762995,  0.83237005]]))
('cousin', array([[ 0.16761816,  0.83238184]]))
('constantly', array([[ 0.16761589,  0.83238411]]))
('mom', array([[ 0.16761093,  0.83238907]]))
('freedom', array([[ 0.16756953,  0.83243047]]))
('causing', array([[ 0.16754211,  0.83245789]]))
('coming', array([[ 0.16751252,  0.83248748]]))
('easily', array([[ 0.16749275,  0.83250725]]))
('voice', array([[ 0.16743785,  0.83256215]]))
('phase', array([[ 0.16741335,  0.83258665]]))
('referred', array([[ 0.16739699,  0.83260301]]))
('eye', array([[ 0.16739635,  0.83260365]]))
('imagine', array([[ 0.16736567,  0.83263433]]))
('responsible', array([[ 0.16733029,  0.83266971]]))
('america', array([[ 0.16721137,  0.83278863]]))
('day', array([[ 0.16718601,  0.83281399]]))
('sets', array([[ 0.16716648,  0.83283352]]))
('silence', array([[ 0.16708797,  0.83291203]]))
('conclusions', array([[ 0.16707859,  0.83292141]]))
('virtually', array([[ 0.16705184,  0.83294816]]))
('human', array([[ 0.16702753,  0.83297247]]))
('moderators', array([[ 0.16696458,  0.83303542]]))
('surely', array([[ 0.16694064,  0.83305936]]))
('within', array([[ 0.16683178,  0.83316822]]))
('whoever', array([[ 0.16680508,  0.83319492]]))
('daddy', array([[ 0.16674298,  0.83325702]]))
('addressed', array([[ 0.16661804,  0.83338196]]))
('arguments', array([[ 0.16653401,  0.83346599]]))
('november', array([[ 0.16650934,  0.83349066]]))
('identities', array([[ 0.16647628,  0.83352372]]))
('permanently', array([[ 0.16635937,  0.83364063]]))
('school', array([[ 0.16632381,  0.83367619]]))
('host', array([[ 0.16631721,  0.83368279]]))
('country', array([[ 0.16629399,  0.83370601]]))
('warnings', array([[ 0.16625049,  0.83374951]]))
('offer', array([[ 0.16615553,  0.83384447]]))
('son', array([[ 0.1661416,  0.8338584]]))
('opportunity', array([[ 0.1660473,  0.8339527]]))
('load', array([[ 0.16599967,  0.83400033]]))
('publishing', array([[ 0.1659986,  0.8340014]]))
('discoveries', array([[ 0.165989,  0.834011]]))
('wikipedia', array([[ 0.16597885,  0.83402115]]))
('badly', array([[ 0.16595477,  0.83404523]]))
('al', array([[ 0.16588355,  0.83411645]]))
('signed', array([[ 0.16584474,  0.83415526]]))
('surprised', array([[ 0.16583732,  0.83416268]]))
('environmental', array([[ 0.16581756,  0.83418244]]))
('owned', array([[ 0.16579166,  0.83420834]]))
('69', array([[ 0.16576215,  0.83423785]]))
('quiet', array([[ 0.16575354,  0.83424646]]))
('do', array([[ 0.16571248,  0.83428752]]))
('brain', array([[ 0.16567516,  0.83432484]]))
('iran', array([[ 0.16566698,  0.83433302]]))
('seem', array([[ 0.16563278,  0.83436722]]))
('wants', array([[ 0.16562268,  0.83437732]]))
('beside', array([[ 0.16561087,  0.83438913]]))
('wishes', array([[ 0.1655797,  0.8344203]]))
('wrote', array([[ 0.16552622,  0.83447378]]))
('towards', array([[ 0.16551437,  0.83448563]]))
('returned', array([[ 0.16547176,  0.83452824]]))
('kwanzaa', array([[ 0.16547003,  0.83452997]]))
('descriptions', array([[ 0.16542933,  0.83457067]]))
('step', array([[ 0.1654067,  0.8345933]]))
('franz', array([[ 0.16523106,  0.83476894]]))
('talked', array([[ 0.16521211,  0.83478789]]))
('home', array([[ 0.16518316,  0.83481684]]))
('ready', array([[ 0.16513752,  0.83486248]]))
('desire', array([[ 0.1651361,  0.8348639]]))
('prove', array([[ 0.16509519,  0.83490481]]))
('gives', array([[ 0.16508695,  0.83491305]]))
('featuring', array([[ 0.16502411,  0.83497589]]))
('curry', array([[ 0.16498725,  0.83501275]]))
('insulted', array([[ 0.16489895,  0.83510105]]))
('getting', array([[ 0.16482044,  0.83517956]]))
('loved', array([[ 0.16479062,  0.83520938]]))
('minority', array([[ 0.16478697,  0.83521303]]))
('care', array([[ 0.16478393,  0.83521607]]))
('thinks', array([[ 0.16477575,  0.83522425]]))
('1984', array([[ 0.16471041,  0.83528959]]))
('be', array([[ 0.16469348,  0.83530652]]))
('marriage', array([[ 0.1646607,  0.8353393]]))
('commit', array([[ 0.16464347,  0.83535653]]))
('calculations', array([[ 0.16463374,  0.83536626]]))
('convert', array([[ 0.16462999,  0.83537001]]))
('contrary', array([[ 0.16461662,  0.83538338]]))
('tomorrow', array([[ 0.16458774,  0.83541226]]))
('regard', array([[ 0.16454471,  0.83545529]]))
('field', array([[ 0.16453637,  0.83546363]]))
('74', array([[ 0.16444759,  0.83555241]]))
('cliff', array([[ 0.16442095,  0.83557905]]))
('lay', array([[ 0.16441217,  0.83558783]]))
('244', array([[ 0.16439353,  0.83560647]]))
('offenders', array([[ 0.16436517,  0.83563483]]))
('niggers', array([[ 0.16435383,  0.83564617]]))
('crackpot', array([[ 0.16428986,  0.83571014]]))
('harassing', array([[ 0.16424495,  0.83575505]]))
('isn', array([[ 0.16418291,  0.83581709]]))
('spectrum', array([[ 0.16413648,  0.83586352]]))
('sake', array([[ 0.1641083,  0.8358917]]))
('submitted', array([[ 0.1641034,  0.8358966]]))
('incite', array([[ 0.16402918,  0.83597082]]))
('yeah', array([[ 0.16397647,  0.83602353]]))
('nescio', array([[ 0.16396751,  0.83603249]]))
('unless', array([[ 0.16394939,  0.83605061]]))
('pull', array([[ 0.16394244,  0.83605756]]))
('jackson', array([[ 0.16392206,  0.83607794]]))
('ain', array([[ 0.16391638,  0.83608362]]))
('deletion', array([[ 0.16387582,  0.83612418]]))
('deniers', array([[ 0.16386284,  0.83613716]]))
('calm', array([[ 0.16385452,  0.83614548]]))
('90', array([[ 0.16375603,  0.83624397]]))
('screen', array([[ 0.16373143,  0.83626857]]))
('suggests', array([[ 0.16370714,  0.83629286]]))
('democracy', array([[ 0.16370565,  0.83629435]]))
('whatsoever', array([[ 0.16368395,  0.83631605]]))
('dvd', array([[ 0.16367025,  0.83632975]]))
('belief', array([[ 0.16363307,  0.83636693]]))
('muslim', array([[ 0.16363041,  0.83636959]]))
('here', array([[ 0.16361656,  0.83638344]]))
('libel', array([[ 0.16358322,  0.83641678]]))
('98', array([[ 0.16357696,  0.83642304]]))
('animal', array([[ 0.16346707,  0.83653293]]))
('dates', array([[ 0.16343405,  0.83656595]]))
('paid', array([[ 0.16341627,  0.83658373]]))
('end', array([[ 0.16339865,  0.83660135]]))
('values', array([[ 0.16334471,  0.83665529]]))
('jossi', array([[ 0.16333373,  0.83666627]]))
('bring', array([[ 0.1632136,  0.8367864]]))
('serbia', array([[ 0.16314092,  0.83685908]]))
('revealed', array([[ 0.16313109,  0.83686891]]))
('quoting', array([[ 0.16306504,  0.83693496]]))
('space', array([[ 0.16299841,  0.83700159]]))
('violenciafriki', array([[ 0.16298308,  0.83701692]]))
('oath', array([[ 0.16294893,  0.83705107]]))
('sight', array([[ 0.16293804,  0.83706196]]))
('protect', array([[ 0.16292782,  0.83707218]]))
('knew', array([[ 0.16292416,  0.83707584]]))
('refers', array([[ 0.16291658,  0.83708342]]))
('until', array([[ 0.16290767,  0.83709233]]))
('talks', array([[ 0.16289846,  0.83710154]]))
('dedicated', array([[ 0.16275486,  0.83724514]]))
('comments', array([[ 0.16272631,  0.83727369]]))
('continually', array([[ 0.16271478,  0.83728522]]))
('an', array([[ 0.16267735,  0.83732265]]))
('fr', array([[ 0.16255118,  0.83744882]]))
('ways', array([[ 0.16254581,  0.83745419]]))
('bomb', array([[ 0.16250406,  0.83749594]]))
('unblocked', array([[ 0.16243864,  0.83756136]]))
('assumptions', array([[ 0.16243712,  0.83756288]]))
('promotion', array([[ 0.16231156,  0.83768844]]))
('written', array([[ 0.1622213,  0.8377787]]))
('down', array([[ 0.16221323,  0.83778677]]))
('feet', array([[ 0.1622016,  0.8377984]]))
('link', array([[ 0.16214093,  0.83785907]]))
('ah', array([[ 0.16209202,  0.83790798]]))
('pm', array([[ 0.16208993,  0.83791007]]))
('king', array([[ 0.1620788,  0.8379212]]))
('romanian', array([[ 0.16205942,  0.83794058]]))
('famous', array([[ 0.16195168,  0.83804832]]))
('isbn', array([[ 0.16192616,  0.83807384]]))
('motherfucking', array([[ 0.16191111,  0.83808889]]))
('jihad', array([[ 0.16188332,  0.83811668]]))
('extensive', array([[ 0.16187887,  0.83812113]]))
('kumanovo', array([[ 0.16186712,  0.83813288]]))
('resources', array([[ 0.16183268,  0.83816732]]))
('journals', array([[ 0.16183137,  0.83816863]]))
('wall', array([[ 0.1618076,  0.8381924]]))
('expert', array([[ 0.16172656,  0.83827344]]))
('ego', array([[ 0.16172605,  0.83827395]]))
('posted', array([[ 0.16161091,  0.83838909]]))
('height', array([[ 0.16156744,  0.83843256]]))
('violates', array([[ 0.161558,  0.838442]]))
('must', array([[ 0.16154342,  0.83845658]]))
('endorse', array([[ 0.16152187,  0.83847813]]))
('tolerance', array([[ 0.16151371,  0.83848629]]))
('lived', array([[ 0.16147105,  0.83852895]]))
('herself', array([[ 0.16146327,  0.83853673]]))
('subjects', array([[ 0.16142744,  0.83857256]]))
('typos', array([[ 0.16141474,  0.83858526]]))
('chula', array([[ 0.16136042,  0.83863958]]))
('vista', array([[ 0.16136042,  0.83863958]]))
('alex', array([[ 0.16130814,  0.83869186]]))
('addresses', array([[ 0.16130102,  0.83869898]]))
('chosen', array([[ 0.16129643,  0.83870357]]))
('shithead', array([[ 0.16123859,  0.83876141]]))
('prefer', array([[ 0.16115635,  0.83884365]]))
('fyrom', array([[ 0.16115305,  0.83884695]]))
('destroying', array([[ 0.16112415,  0.83887585]]))
('with', array([[ 0.16110455,  0.83889545]]))
('british', array([[ 0.16109903,  0.83890097]]))
('pledge', array([[ 0.16107148,  0.83892852]]))
('agency', array([[ 0.16103772,  0.83896228]]))
('palestinians', array([[ 0.16100403,  0.83899597]]))
('poppers', array([[ 0.16100048,  0.83899952]]))
('trivia', array([[ 0.16099857,  0.83900143]]))
('2000', array([[ 0.16097753,  0.83902247]]))
('alive', array([[ 0.16089887,  0.83910113]]))
('60', array([[ 0.16089816,  0.83910184]]))
('yours', array([[ 0.16078951,  0.83921049]]))
('deals', array([[ 0.16075796,  0.83924204]]))
('edition', array([[ 0.16074931,  0.83925069]]))
('break', array([[ 0.16069891,  0.83930109]]))
('choose', array([[ 0.16067427,  0.83932573]]))
('diego', array([[ 0.16066193,  0.83933807]]))
('concentration', array([[ 0.16062593,  0.83937407]]))
('danny', array([[ 0.1606199,  0.8393801]]))
('gender', array([[ 0.16051893,  0.83948107]]))
('savage', array([[ 0.16051406,  0.83948594]]))
('straight', array([[ 0.16047852,  0.83952148]]))
('opponent', array([[ 0.16042457,  0.83957543]]))
('impact', array([[ 0.16033499,  0.83966501]]))
('prayer', array([[ 0.16019884,  0.83980116]]))
('voyer', array([[ 0.16014667,  0.83985333]]))
('analysis', array([[ 0.16011267,  0.83988733]]))
('narrow', array([[ 0.16009553,  0.83990447]]))
('stopped', array([[ 0.16009228,  0.83990772]]))
('couple', array([[ 0.16008001,  0.83991999]]))
('advertising', array([[ 0.16005808,  0.83994192]]))
('neither', array([[ 0.15996572,  0.84003428]]))
('nasty', array([[ 0.15993682,  0.84006318]]))
('circumstances', array([[ 0.15979717,  0.84020283]]))
('speak', array([[ 0.15970018,  0.84029982]]))
('graphic', array([[ 0.15961832,  0.84038168]]))
('grammatical', array([[ 0.15952589,  0.84047411]]))
('challenged', array([[ 0.1595091,  0.8404909]]))
('input', array([[ 0.15948986,  0.84051014]]))
('husband', array([[ 0.15945025,  0.84054975]]))
('encyclopaedia', array([[ 0.15943831,  0.84056169]]))
('union', array([[ 0.1594223,  0.8405777]]))
('sea', array([[ 0.15942063,  0.84057937]]))
('cannistraro', array([[ 0.15940644,  0.84059356]]))
('http', array([[ 0.15938172,  0.84061828]]))
('murder', array([[ 0.15931194,  0.84068806]]))
('grave', array([[ 0.15930329,  0.84069671]]))
('phenomenon', array([[ 0.15929052,  0.84070948]]))
('finds', array([[ 0.15924448,  0.84075552]]))
('far', array([[ 0.1592238,  0.8407762]]))
('tie', array([[ 0.15918962,  0.84081038]]))
('hominem', array([[ 0.15918915,  0.84081085]]))
('japan', array([[ 0.15918382,  0.84081618]]))
('office', array([[ 0.15915214,  0.84084786]]))
('together', array([[ 0.1591393,  0.8408607]]))
('thirty', array([[ 0.15908255,  0.84091745]]))
('exercise', array([[ 0.15905762,  0.84094238]]))
('weather', array([[ 0.15900005,  0.84099995]]))
('09', array([[ 0.15899241,  0.84100759]]))
('women', array([[ 0.15887588,  0.84112412]]))
('dark', array([[ 0.1588629,  0.8411371]]))
('watch', array([[ 0.15876742,  0.84123258]]))
('pakistan', array([[ 0.15872498,  0.84127502]]))
('moderator', array([[ 0.15871703,  0.84128297]]))
('truly', array([[ 0.15869052,  0.84130948]]))
('statements', array([[ 0.15868782,  0.84131218]]))
('progress', array([[ 0.15867809,  0.84132191]]))
('arab', array([[ 0.15863585,  0.84136415]]))
('pov', array([[ 0.15853552,  0.84146448]]))
('collection', array([[ 0.15852172,  0.84147828]]))
('education', array([[ 0.15851829,  0.84148171]]))
('corrected', array([[ 0.15846894,  0.84153106]]))
('agent', array([[ 0.15842506,  0.84157494]]))
('star', array([[ 0.15842351,  0.84157649]]))
('turkey', array([[ 0.15837572,  0.84162428]]))
('mere', array([[ 0.15836748,  0.84163252]]))

('regardless', array([[ 0.12394427,  0.87605573]]))
('thomas', array([[ 0.12392061,  0.87607939]]))
('violate', array([[ 0.1239195,  0.8760805]]))
('kingdom', array([[ 0.12389651,  0.87610349]]))
('ue', array([[ 0.12389366,  0.87610634]]))
('politicians', array([[ 0.12389313,  0.87610687]]))
('communities', array([[ 0.12388096,  0.87611904]]))
('chad', array([[ 0.12387394,  0.87612606]]))
('19', array([[ 0.12386321,  0.87613679]]))
('effectively', array([[ 0.12385791,  0.87614209]]))
('unsourced', array([[ 0.12384816,  0.87615184]]))
('registry', array([[ 0.12380105,  0.87619895]]))
('main', array([[ 0.12379589,  0.87620411]]))
('province', array([[ 0.12378563,  0.87621437]]))
('disinformation', array([[ 0.1237602,  0.8762398]]))
('foundation', array([[ 0.12374131,  0.87625869]]))
('moldavian', array([[ 0.12372955,  0.87627045]]))
('looks', array([[ 0.12372796,  0.87627204]]))
('upload', array([[ 0.12371366,  0.87628634]]))
('rv', array([[ 0.12369474,  0.87630526]]))
('gold', array([[ 0.12369071,  0.87630929]]))
('bands', array([[ 0.1236859,  0.8763141]]))
('controversial', array([[ 0.12363662,  0.87636338]]))
('improve', array([[ 0.12362484,  0.87637516]]))
('element', array([[ 0.12361927,  0.87638073]]))
('outright', array([[ 0.12361543,  0.87638457]]))
('thought', array([[ 0.12360637,  0.87639363]]))
('soon', array([[ 0.12360038,  0.87639962]]))
('investigation', array([[ 0.12358764,  0.87641236]]))
('ongoing', array([[ 0.12358391,  0.87641609]]))
('breeds', array([[ 0.12357071,  0.87642929]]))
('parallel', array([[ 0.12355921,  0.87644079]]))
('politics', array([[ 0.12355792,  0.87644208]]))
('portal', array([[ 0.12355077,  0.87644923]]))
('chabad', array([[ 0.12354868,  0.87645132]]))
('anyone', array([[ 0.1235309,  0.8764691]]))
('rebbe', array([[ 0.12352495,  0.87647505]]))
('13', array([[ 0.12349916,  0.87650084]]))
('uploading', array([[ 0.12349492,  0.87650508]]))
('genre', array([[ 0.12346635,  0.87653365]]))
('bektashi', array([[ 0.12341542,  0.87658458]]))
('growing', array([[ 0.12340837,  0.87659163]]))
('hint', array([[ 0.12339675,  0.87660325]]))
('systems', array([[ 0.12338889,  0.87661111]]))
('joined', array([[ 0.12338673,  0.87661327]]))
('gospel', array([[ 0.12338247,  0.87661753]]))
('largest', array([[ 0.12337099,  0.87662901]]))
('germany', array([[ 0.12335353,  0.87664647]]))
('quoted', array([[ 0.12335353,  0.87664647]]))
('alleged', array([[ 0.12332057,  0.87667943]]))
('85', array([[ 0.12331895,  0.87668105]]))
('offending', array([[ 0.12330194,  0.87669806]]))
('appreciate', array([[ 0.12326983,  0.87673017]]))
('ant', array([[ 0.12326788,  0.87673212]]))
('coverage', array([[ 0.123267,  0.876733]]))
('led', array([[ 0.12326235,  0.87673765]]))
('therefore', array([[ 0.12323694,  0.87676306]]))
('38', array([[ 0.12322964,  0.87677036]]))
('concerned', array([[ 0.12322729,  0.87677271]]))
('leading', array([[ 0.12321898,  0.87678102]]))
('involve', array([[ 0.12321604,  0.87678396]]))
('medicine', array([[ 0.12317318,  0.87682682]]))
('singapore', array([[ 0.12315021,  0.87684979]]))
('vast', array([[ 0.12312648,  0.87687352]]))
('turn', array([[ 0.12312221,  0.87687779]]))
('detailed', array([[ 0.12311511,  0.87688489]]))
('survived', array([[ 0.1230899,  0.8769101]]))
('hearing', array([[ 0.12306478,  0.87693522]]))
('department', array([[ 0.12303436,  0.87696564]]))
('rare', array([[ 0.12298999,  0.87701001]]))
('accountability', array([[ 0.1229864,  0.8770136]]))
('hurricane', array([[ 0.12296061,  0.87703939]]))
('civilians', array([[ 0.12295577,  0.87704423]]))
('movie', array([[ 0.12295556,  0.87704444]]))
('breeders', array([[ 0.12295098,  0.87704902]]))
('documented', array([[ 0.12292898,  0.87707102]]))
('ended', array([[ 0.12292854,  0.87707146]]))
('canadian', array([[ 0.12292636,  0.87707364]]))
('chapter', array([[ 0.12290912,  0.87709088]]))
('license', array([[ 0.12290522,  0.87709478]]))
('round', array([[ 0.1228885,  0.8771115]]))
('editor', array([[ 0.12286303,  0.87713697]]))
('concern', array([[ 0.12282013,  0.87717987]]))
('enter', array([[ 0.12281383,  0.87718617]]))
('soviet', array([[ 0.12281096,  0.87718904]]))
('claimed', array([[ 0.12280295,  0.87719705]]))
('unknown', array([[ 0.12278826,  0.87721174]]))
('considering', array([[ 0.12275717,  0.87724283]]))
('formatted', array([[ 0.12274146,  0.87725854]]))
('39', array([[ 0.12273388,  0.87726612]]))
('policy', array([[ 0.1227127,  0.8772873]]))
('malaysia', array([[ 0.12270667,  0.87729333]]))
('days', array([[ 0.12268491,  0.87731509]]))
('sorts', array([[ 0.12263484,  0.87736516]]))
('misunderstanding', array([[ 0.12263458,  0.87736542]]))
('expressed', array([[ 0.12263064,  0.87736936]]))
('proceed', array([[ 0.12262676,  0.87737324]]))
('going', array([[ 0.1226149,  0.8773851]]))
('motives', array([[ 0.12257823,  0.87742177]]))
('alot', array([[ 0.12254721,  0.87745279]]))
('across', array([[ 0.12254289,  0.87745711]]))
('signature', array([[ 0.12249536,  0.87750464]]))
('rob', array([[ 0.12249278,  0.87750722]]))
('connected', array([[ 0.12248358,  0.87751642]]))
