('thank', array([[ 0.99522839,  0.00477161]]))
('disputed', array([[ 0.9655765,  0.0344235]]))
('reasonable', array([[ 0.96556218,  0.03443782]]))
('etc', array([[ 0.96555963,  0.03444037]]))
('objection', array([[ 0.96553639,  0.03446361]]))
('awesome', array([[ 0.96546649,  0.03453351]]))
('start', array([[ 0.96545917,  0.03454083]]))
('2006', array([[ 0.96541457,  0.03458543]]))
('advise', array([[ 0.96537199,  0.03462801]]))
('moving', array([[ 0.9653665,  0.0346335]]))
('assertion', array([[ 0.96536625,  0.03463375]]))
('claims', array([[ 0.96534496,  0.03465504]]))
('contacted', array([[ 0.96531733,  0.03468267]]))
('san', array([[ 0.96531501,  0.03468499]]))
('updated', array([[ 0.96529641,  0.03470359]]))
('thread', array([[ 0.96522388,  0.03477612]]))
('heard', array([[ 0.96518246,  0.03481754]]))
('caused', array([[ 0.96516924,  0.03483076]]))
('on', array([[ 0.96516878,  0.03483122]]))
('miss', array([[ 0.96511857,  0.03488143]]))
('wikipedians', array([[ 0.96508928,  0.03491072]]))
('making', array([[ 0.96508409,  0.03491591]]))
('asking', array([[ 0.96505693,  0.03494307]]))
('cup', array([[ 0.96505677,  0.03494323]]))
('archived', array([[ 0.96505663,  0.03494337]]))
('created', array([[ 0.96503749,  0.03496251]]))
('spoken', array([[ 0.96503515,  0.03496485]]))
('topic', array([[ 0.96500964,  0.03499036]]))
('closer', array([[ 0.96500935,  0.03499065]]))
('sockpuppetry', array([[ 0.96500666,  0.03499334]]))
('07', array([[ 0.96499671,  0.03500329]]))
('interview', array([[ 0.9649906,  0.0350094]]))
('legal', array([[ 0.96498452,  0.03501548]]))
('poland', array([[ 0.96497414,  0.03502586]]))
('difference', array([[ 0.9649599,  0.0350401]]))
('elizabeth', array([[ 0.96489775,  0.03510225]]))
('chinese', array([[ 0.96489491,  0.03510509]]))
('contract', array([[ 0.96487596,  0.03512404]]))
('afd', array([[ 0.96487344,  0.03512656]]))
('plant', array([[ 0.96486879,  0.03513121]]))
('assistance', array([[ 0.96486552,  0.03513448]]))
('often', array([[ 0.96486451,  0.03513549]]))
('bias', array([[ 0.9648483,  0.0351517]]))
('incorrect', array([[ 0.96482699,  0.03517301]]))
('involved', array([[ 0.96480601,  0.03519399]]))
('been', array([[ 0.96479104,  0.03520896]]))
('violence', array([[ 0.96478026,  0.03521974]]))
('translation', array([[ 0.96474276,  0.03525724]]))
('towards', array([[ 0.96472538,  0.03527462]]))
('hmm', array([[ 0.96468979,  0.03531021]]))
('irish', array([[ 0.96468734,  0.03531266]]))
('unblock', array([[ 0.9646499,  0.0353501]]))
('wont', array([[ 0.9646042,  0.0353958]]))
('irrelevant', array([[ 0.96459682,  0.03540318]]))
('press', array([[ 0.96459057,  0.03540943]]))
('literally', array([[ 0.96458555,  0.03541445]]))
('erroneous', array([[ 0.96458206,  0.03541794]]))
('cold', array([[ 0.96457943,  0.03542057]]))
('defamatory', array([[ 0.96456614,  0.03543386]]))
('professor', array([[ 0.96452914,  0.03547086]]))
('words', array([[ 0.9645178,  0.0354822]]))
('cleaning', array([[ 0.96451486,  0.03548514]]))
('friendly', array([[ 0.96448253,  0.03551747]]))
('writing', array([[ 0.96447251,  0.03552749]]))
('dr', array([[ 0.96446485,  0.03553515]]))
('al', array([[ 0.9644401,  0.0355599]]))
('historian', array([[ 0.96440087,  0.03559913]]))
('term', array([[ 0.96439729,  0.03560271]]))
('maps', array([[ 0.96439601,  0.03560399]]))
('powerful', array([[ 0.96438504,  0.03561496]]))
('figure', array([[ 0.96437992,  0.03562008]]))
('templates', array([[ 0.96437096,  0.03562904]]))
('sides', array([[ 0.9643542,  0.0356458]]))
('reason', array([[ 0.96434945,  0.03565055]]))
('strange', array([[ 0.96432161,  0.03567839]]))
('lyrics', array([[ 0.96431234,  0.03568766]]))
('referring', array([[ 0.96427536,  0.03572464]]))
('forgot', array([[ 0.96424469,  0.03575531]]))
('se', array([[ 0.96423418,  0.03576582]]))
('smith', array([[ 0.96423337,  0.03576663]]))
('afghanistan', array([[ 0.96419422,  0.03580578]]))
('contrary', array([[ 0.96419213,  0.03580787]]))
('misunderstanding', array([[ 0.96415508,  0.03584492]]))
('sees', array([[ 0.96413704,  0.03586296]]))
('carefully', array([[ 0.96413555,  0.03586445]]))
('identified', array([[ 0.96412913,  0.03587087]]))
('claim', array([[ 0.96412186,  0.03587814]]))
('mentions', array([[ 0.96412029,  0.03587971]]))
('investigation', array([[ 0.96408225,  0.03591775]]))
('georgia', array([[ 0.96405698,  0.03594302]]))
('turkey', array([[ 0.96403854,  0.03596146]]))
('prior', array([[ 0.96403765,  0.03596235]]))
('ahead', array([[ 0.96402377,  0.03597623]]))
('experience', array([[ 0.96400477,  0.03599523]]))
('appreciated', array([[ 0.96399766,  0.03600234]]))
('beyond', array([[ 0.9639869,  0.0360131]]))
('amazing', array([[ 0.96398453,  0.03601547]]))
('vs', array([[ 0.96398269,  0.03601731]]))
('recently', array([[ 0.96396367,  0.03603633]]))
('rationale', array([[ 0.96394296,  0.03605704]]))
('since', array([[ 0.96393845,  0.03606155]]))
('commented', array([[ 0.96391783,  0.03608217]]))
('example', array([[ 0.96391382,  0.03608618]]))
('release', array([[ 0.96390904,  0.03609096]]))
('confirm', array([[ 0.96390555,  0.03609445]]))
('texas', array([[ 0.96390395,  0.03609605]]))
('necessarily', array([[ 0.96390062,  0.03609938]]))
('western', array([[ 0.96389471,  0.03610529]]))
('mexican', array([[ 0.96388224,  0.03611776]]))
('citing', array([[ 0.96387588,  0.03612412]]))
('effort', array([[ 0.96386219,  0.03613781]]))
('extremely', array([[ 0.96385905,  0.03614095]]))
('editorial', array([[ 0.96385417,  0.03614583]]))
('use', array([[ 0.96384684,  0.03615316]]))
('barely', array([[ 0.96384248,  0.03615752]]))
('district', array([[ 0.96378818,  0.03621182]]))
('acted', array([[ 0.96375965,  0.03624035]]))
('many', array([[ 0.96372268,  0.03627732]]))
('lately', array([[ 0.96370912,  0.03629088]]))
('haven', array([[ 0.9637016,  0.0362984]]))
('sent', array([[ 0.96369731,  0.03630269]]))
('related', array([[ 0.96368597,  0.03631403]]))
('associated', array([[ 0.96366434,  0.03633566]]))
('second', array([[ 0.96365766,  0.03634234]]))
('particular', array([[ 0.96362963,  0.03637037]]))
('chief', array([[ 0.96361832,  0.03638168]]))
('pages', array([[ 0.96361007,  0.03638993]]))
('name', array([[ 0.96357337,  0.03642663]]))
('states', array([[ 0.96357245,  0.03642755]]))
('including', array([[ 0.96357087,  0.03642913]]))
('generally', array([[ 0.96356774,  0.03643226]]))
('moment', array([[ 0.96355744,  0.03644256]]))
('notification', array([[ 0.96355338,  0.03644662]]))
('experimenting', array([[ 0.96355152,  0.03644848]]))
('introduction', array([[ 0.96350871,  0.03649129]]))
('five', array([[ 0.96349826,  0.03650174]]))
('hungarian', array([[ 0.96348433,  0.03651567]]))
('about', array([[ 0.96348155,  0.03651845]]))
('theory', array([[ 0.96346653,  0.03653347]]))
('played', array([[ 0.96346321,  0.03653679]]))
('produce', array([[ 0.96344899,  0.03655101]]))
('purposes', array([[ 0.9634439,  0.0365561]]))
('driving', array([[ 0.96343264,  0.03656736]]))
('germany', array([[ 0.96343106,  0.03656894]]))
('attitude', array([[ 0.96342023,  0.03657977]]))
('men', array([[ 0.96341702,  0.03658298]]))
('mind', array([[ 0.96341153,  0.03658847]]))
('older', array([[ 0.96340313,  0.03659687]]))
('cultural', array([[ 0.9633766,  0.0366234]]))
('christians', array([[ 0.96335932,  0.03664068]]))
('physical', array([[ 0.96335518,  0.03664482]]))
('week', array([[ 0.96334792,  0.03665208]]))
('student', array([[ 0.96332247,  0.03667753]]))
('century', array([[ 0.96328351,  0.03671649]]))
('2011', array([[ 0.96327474,  0.03672526]]))
('equal', array([[ 0.96326262,  0.03673738]]))
('experiment', array([[ 0.9632611,  0.0367389]]))
('stuff', array([[ 0.9632471,  0.0367529]]))
('common', array([[ 0.96321746,  0.03678254]]))
('perhaps', array([[ 0.96320706,  0.03679294]]))
('officially', array([[ 0.96316941,  0.03683059]]))
('month', array([[ 0.96314658,  0.03685342]]))
('matter', array([[ 0.96304156,  0.03695844]]))
('files', array([[ 0.96302496,  0.03697504]]))
('exception', array([[ 0.96301534,  0.03698466]]))
('international', array([[ 0.96298613,  0.03701387]]))
('phrase', array([[ 0.96297354,  0.03702646]]))
('check', array([[ 0.96296436,  0.03703564]]))
('kinda', array([[ 0.96293437,  0.03706563]]))
('organization', array([[ 0.96292227,  0.03707773]]))
('draft', array([[ 0.9629066,  0.0370934]]))
('keeps', array([[ 0.96288979,  0.03711021]]))
('assume', array([[ 0.96288537,  0.03711463]]))
('shows', array([[ 0.96288404,  0.03711596]]))
('actor', array([[ 0.96285043,  0.03714957]]))
('based', array([[ 0.96283881,  0.03716119]]))
('ideas', array([[ 0.96282409,  0.03717591]]))
('editor', array([[ 0.96280749,  0.03719251]]))
('worry', array([[ 0.96276503,  0.03723497]]))
('korea', array([[ 0.96273237,  0.03726763]]))
('moon', array([[ 0.96272944,  0.03727056]]))
('intentions', array([[ 0.9626954,  0.0373046]]))
('sockpuppets', array([[ 0.96267286,  0.03732714]]))
('blp', array([[ 0.96267221,  0.03732779]]))
('blogs', array([[ 0.96265789,  0.03734211]]))
('groups', array([[ 0.96265313,  0.03734687]]))
('disagree', array([[ 0.96264241,  0.03735759]]))
('relation', array([[ 0.96263633,  0.03736367]]))
('aware', array([[ 0.96263547,  0.03736453]]))
('lede', array([[ 0.96263384,  0.03736616]]))
('particularly', array([[ 0.96263185,  0.03736815]]))
('behave', array([[ 0.96262178,  0.03737822]]))
('evolution', array([[ 0.96261115,  0.03738885]]))
('nationalist', array([[ 0.96260511,  0.03739489]]))
('expert', array([[ 0.96254033,  0.03745967]]))
('singer', array([[ 0.96253921,  0.03746079]]))
('stage', array([[ 0.96253582,  0.03746418]]))
('documented', array([[ 0.96252088,  0.03747912]]))
('discussions', array([[ 0.9625033,  0.0374967]]))
('schools', array([[ 0.96249417,  0.03750583]]))
('character', array([[ 0.96248954,  0.03751046]]))
('parts', array([[ 0.96246264,  0.03753736]]))
('wording', array([[ 0.96244775,  0.03755225]]))
('evening', array([[ 0.96244175,  0.03755825]]))
('protection', array([[ 0.96243497,  0.03756503]]))
('built', array([[ 0.96242573,  0.03757427]]))
('colors', array([[ 0.96242132,  0.03757868]]))
('below', array([[ 0.9623928,  0.0376072]]))
('el', array([[ 0.96236154,  0.03763846]]))
('jimmy', array([[ 0.96234858,  0.03765142]]))
('perspective', array([[ 0.96232622,  0.03767378]]))
('names', array([[ 0.96231124,  0.03768876]]))
('christianity', array([[ 0.96229937,  0.03770063]]))
('outcome', array([[ 0.9622905,  0.0377095]]))
('coverage', array([[ 0.96228079,  0.03771921]]))
('another', array([[ 0.9622803,  0.0377197]]))
('rest', array([[ 0.96227274,  0.03772726]]))
('heaven', array([[ 0.9622479,  0.0377521]]))
('constitution', array([[ 0.96223841,  0.03776159]]))
('file', array([[ 0.96220511,  0.03779489]]))
('easy', array([[ 0.96213696,  0.03786304]]))
('png', array([[ 0.9621245,  0.0378755]]))
('australian', array([[ 0.96210495,  0.03789505]]))
('offered', array([[ 0.9621018,  0.0378982]]))
('helpful', array([[ 0.96206471,  0.03793529]]))
('mass', array([[ 0.96204185,  0.03795815]]))
('invited', array([[ 0.96203991,  0.03796009]]))
('arbitration', array([[ 0.96202023,  0.03797977]]))
('separate', array([[ 0.96199849,  0.03800151]]))
('williams', array([[ 0.96198552,  0.03801448]]))
('focus', array([[ 0.96198272,  0.03801728]]))
('toward', array([[ 0.96197589,  0.03802411]]))
('spirit', array([[ 0.9619718,  0.0380282]]))
('ruling', array([[ 0.96197156,  0.03802844]]))
('realized', array([[ 0.96196348,  0.03803652]]))
('stated', array([[ 0.96194872,  0.03805128]]))
('productive', array([[ 0.96194257,  0.03805743]]))
('impossible', array([[ 0.96194118,  0.03805882]]))
('kosovo', array([[ 0.9619349,  0.0380651]]))
('gods', array([[ 0.96191049,  0.03808951]]))
('cant', array([[ 0.96188624,  0.03811376]]))
('redirects', array([[ 0.96186553,  0.03813447]]))
('chat', array([[ 0.96185327,  0.03814673]]))
('permanently', array([[ 0.96184459,  0.03815541]]))
('literature', array([[ 0.96184361,  0.03815639]]))
('greater', array([[ 0.9618294,  0.0381706]]))
('former', array([[ 0.96182428,  0.03817572]]))
('vague', array([[ 0.96182416,  0.03817584]]))
('unable', array([[ 0.96181975,  0.03818025]]))
('dynasty', array([[ 0.96180343,  0.03819657]]))
('2003', array([[ 0.96180217,  0.03819783]]))
('posts', array([[ 0.9617874,  0.0382126]]))
('judaism', array([[ 0.96177923,  0.03822077]]))
('odd', array([[ 0.96177887,  0.03822113]]))
('direct', array([[ 0.96176188,  0.03823812]]))
('restoring', array([[ 0.96174817,  0.03825183]]))
('finds', array([[ 0.96174153,  0.03825847]]))
('begin', array([[ 0.96173823,  0.03826177]]))
('summer', array([[ 0.96173657,  0.03826343]]))
('building', array([[ 0.96170958,  0.03829042]]))
('letters', array([[ 0.96170548,  0.03829452]]))
('capable', array([[ 0.96170257,  0.03829743]]))
('helps', array([[ 0.96170118,  0.03829882]]))
('zero', array([[ 0.96170068,  0.03829932]]))
('proposed', array([[ 0.96168602,  0.03831398]]))
('mark', array([[ 0.9616817,  0.0383183]]))
('formatting', array([[ 0.96167354,  0.03832646]]))
('password', array([[ 0.96165397,  0.03834603]]))
('instance', array([[ 0.96162806,  0.03837194]]))
('declared', array([[ 0.96162097,  0.03837903]]))
('polish', array([[ 0.96160692,  0.03839308]]))
('awards', array([[ 0.96160121,  0.03839879]]))
('forget', array([[ 0.9615988,  0.0384012]]))
('strong', array([[ 0.96158711,  0.03841289]]))
('26', array([[ 0.96158585,  0.03841415]]))
('pride', array([[ 0.96158581,  0.03841419]]))
('field', array([[ 0.96157533,  0.03842467]]))
('rfc', array([[ 0.96156285,  0.03843715]]))
('deaths', array([[ 0.96155297,  0.03844703]]))
('wikipedian', array([[ 0.96154562,  0.03845438]]))
('18', array([[ 0.96153562,  0.03846438]]))
('crisis', array([[ 0.96152993,  0.03847007]]))
('nevertheless', array([[ 0.96152086,  0.03847914]]))
('intelligent', array([[ 0.96150117,  0.03849883]]))
('user_talk', array([[ 0.96149352,  0.03850648]]))
('respect', array([[ 0.96147155,  0.03852845]]))
('cares', array([[ 0.96146337,  0.03853663]]))
('pass', array([[ 0.96145495,  0.03854505]]))
('creation', array([[ 0.96143291,  0.03856709]]))
('28', array([[ 0.9614212,  0.0385788]]))
('wonderful', array([[ 0.96140721,  0.03859279]]))
('view', array([[ 0.9614034,  0.0385966]]))
('2004', array([[ 0.96140231,  0.03859769]]))
('interpretation', array([[ 0.96139968,  0.03860032]]))
('speculation', array([[ 0.96137792,  0.03862208]]))
('denial', array([[ 0.96135503,  0.03864497]]))
('editing', array([[ 0.96134874,  0.03865126]]))
('outright', array([[ 0.96134813,  0.03865187]]))
('islamic', array([[ 0.96134718,  0.03865282]]))
('scene', array([[ 0.96134242,  0.03865758]]))
('needs', array([[ 0.96133922,  0.03866078]]))
('tribe', array([[ 0.96133335,  0.03866665]]))
('apologize', array([[ 0.96132943,  0.03867057]]))
('writer', array([[ 0.96132311,  0.03867689]]))
('arguing', array([[ 0.96131871,  0.03868129]]))
('disputes', array([[ 0.9612941,  0.0387059]]))
('formed', array([[ 0.9612848,  0.0387152]]))
('scholar', array([[ 0.96128336,  0.03871664]]))
('dyk', array([[ 0.96126927,  0.03873073]]))
('compared', array([[ 0.96126033,  0.03873967]]))
('happening', array([[ 0.96125617,  0.03874383]]))
('orthodox', array([[ 0.96124558,  0.03875442]]))
('soviet', array([[ 0.96124419,  0.03875581]]))
('historic', array([[ 0.9612206,  0.0387794]]))
('goal', array([[ 0.96121777,  0.03878223]]))
('upload', array([[ 0.96121444,  0.03878556]]))
('relations', array([[ 0.96121354,  0.03878646]]))
('proper', array([[ 0.96120597,  0.03879403]]))
('reduced', array([[ 0.96119946,  0.03880054]]))
('seven', array([[ 0.96119665,  0.03880335]]))
('imply', array([[ 0.96119525,  0.03880475]]))
('early', array([[ 0.96117668,  0.03882332]]))
('lines', array([[ 0.96117123,  0.03882877]]))
('color', array([[ 0.96115287,  0.03884713]]))
('isles', array([[ 0.96114469,  0.03885531]]))
('educated', array([[ 0.96114081,  0.03885919]]))
('item', array([[ 0.96112807,  0.03887193]]))
('fresh', array([[ 0.96110858,  0.03889142]]))
('cleanup', array([[ 0.96110558,  0.03889442]]))
('status', array([[ 0.96108621,  0.03891379]]))
('address', array([[ 0.961067,  0.038933]]))
('unconstructive', array([[ 0.96105879,  0.03894121]]))
('normally', array([[ 0.9610289,  0.0389711]]))
('both', array([[ 0.96102712,  0.03897288]]))
('agf', array([[ 0.96100837,  0.03899163]]))
('novel', array([[ 0.96100238,  0.03899762]]))
('myspace', array([[ 0.96096708,  0.03903292]]))
('sourced', array([[ 0.96095755,  0.03904245]]))
('navy', array([[ 0.96095679,  0.03904321]]))
('beliefs', array([[ 0.96093181,  0.03906819]]))
('didn', array([[ 0.96090022,  0.03909978]]))
('procedure', array([[ 0.96089459,  0.03910541]]))
('green', array([[ 0.96087758,  0.03912242]]))
('stub', array([[ 0.96087345,  0.03912655]]))
('mainstream', array([[ 0.96087063,  0.03912937]]))
('ranking', array([[ 0.96086762,  0.03913238]]))
('14', array([[ 0.96085613,  0.03914387]]))
('text', array([[ 0.96085357,  0.03914643]]))
('key', array([[ 0.96083441,  0.03916559]]))
('download', array([[ 0.96083012,  0.03916988]]))
('france', array([[ 0.96082582,  0.03917418]]))
('looks', array([[ 0.96081707,  0.03918293]]))
('id', array([[ 0.9608111,  0.0391889]]))
('thought', array([[ 0.96081096,  0.03918904]]))
('dispute', array([[ 0.96080044,  0.03919956]]))
('suppose', array([[ 0.96079015,  0.03920985]]))
('ought', array([[ 0.96078783,  0.03921217]]))
('mike', array([[ 0.96078011,  0.03921989]]))
('coi', array([[ 0.96077959,  0.03922041]]))
('strongly', array([[ 0.96075628,  0.03924372]]))
('application', array([[ 0.96075603,  0.03924397]]))
('read', array([[ 0.96074526,  0.03925474]]))
('referencing', array([[ 0.96073807,  0.03926193]]))
('existing', array([[ 0.9607322,  0.0392678]]))
('somehow', array([[ 0.96072021,  0.03927979]]))
('flawed', array([[ 0.9607105,  0.0392895]]))
('guideline', array([[ 0.96070786,  0.03929214]]))
('2001', array([[ 0.96070302,  0.03929698]]))
('co', array([[ 0.96070123,  0.03929877]]))
('same', array([[ 0.96066894,  0.03933106]]))
('organized', array([[ 0.96066847,  0.03933153]]))
('filter', array([[ 0.96065114,  0.03934886]]))
('accusation', array([[ 0.9606416,  0.0393584]]))
('culture', array([[ 0.96063647,  0.03936353]]))
('concern', array([[ 0.96063289,  0.03936711]]))
('released', array([[ 0.96062982,  0.03937018]]))
('table', array([[ 0.96062505,  0.03937495]]))
('medical', array([[ 0.96062363,  0.03937637]]))
('um', array([[ 0.96061946,  0.03938054]]))
('reflect', array([[ 0.96061912,  0.03938088]]))
('200', array([[ 0.96061308,  0.03938692]]))
('implies', array([[ 0.96061215,  0.03938785]]))
('route', array([[ 0.96060779,  0.03939221]]))
('witnesses', array([[ 0.96059723,  0.03940277]]))
('contribs', array([[ 0.96058189,  0.03941811]]))
('sadly', array([[ 0.96057882,  0.03942118]]))
('frequently', array([[ 0.96056951,  0.03943049]]))
('projects', array([[ 0.96054923,  0.03945077]]))
('association', array([[ 0.9605249,  0.0394751]]))
('additions', array([[ 0.9605144,  0.0394856]]))
('theme', array([[ 0.96050096,  0.03949904]]))
('secondly', array([[ 0.96050068,  0.03949932]]))
('confusion', array([[ 0.96043818,  0.03956182]]))
('url', array([[ 0.96043241,  0.03956759]]))
('problems', array([[ 0.96043106,  0.03956894]]))
('contains', array([[ 0.96042687,  0.03957313]]))
('contentious', array([[ 0.96042264,  0.03957736]]))
('systems', array([[ 0.96042179,  0.03957821]]))
('balanced', array([[ 0.96039384,  0.03960616]]))
('actions', array([[ 0.96038766,  0.03961234]]))
('stand', array([[ 0.96036916,  0.03963084]]))
('two', array([[ 0.96035678,  0.03964322]]))
('pg', array([[ 0.96035099,  0.03964901]]))
('removal', array([[ 0.96035066,  0.03964934]]))
('honor', array([[ 0.96034923,  0.03965077]]))
('myth', array([[ 0.96034562,  0.03965438]]))
('quotes', array([[ 0.96034312,  0.03965688]]))
('furthermore', array([[ 0.96033705,  0.03966295]]))
('forgive', array([[ 0.96033066,  0.03966934]]))
('merger', array([[ 0.9603284,  0.0396716]]))
('notices', array([[ 0.96032609,  0.03967391]]))
('programs', array([[ 0.96032434,  0.03967566]]))
('involve', array([[ 0.96030948,  0.03969052]]))
('someone', array([[ 0.96030079,  0.03969921]]))
('deletions', array([[ 0.96027742,  0.03972258]]))
('around', array([[ 0.96026919,  0.03973081]]))
('kept', array([[ 0.96026852,  0.03973148]]))
('against', array([[ 0.96025763,  0.03974237]]))
('clear', array([[ 0.96025591,  0.03974409]]))
('copied', array([[ 0.96023574,  0.03976426]]))
('confirmation', array([[ 0.96023172,  0.03976828]]))
('convicted', array([[ 0.96021681,  0.03978319]]))
('25', array([[ 0.96021417,  0.03978583]]))
('development', array([[ 0.96020435,  0.03979565]]))
('closely', array([[ 0.96020435,  0.03979565]]))
('station', array([[ 0.96020269,  0.03979731]]))
('acceptable', array([[ 0.96020055,  0.03979945]]))
('event', array([[ 0.96019419,  0.03980581]]))
('66', array([[ 0.96019332,  0.03980668]]))
('suitable', array([[ 0.96016511,  0.03983489]]))
('opened', array([[ 0.96015471,  0.03984529]]))
('untrue', array([[ 0.96015387,  0.03984613]]))
('excellent', array([[ 0.96013487,  0.03986513]]))
('regime', array([[ 0.96012431,  0.03987569]]))
('census', array([[ 0.96012197,  0.03987803]]))
('intended', array([[ 0.9600985,  0.0399015]]))
('communication', array([[ 0.96009795,  0.03990205]]))
('car', array([[ 0.96009728,  0.03990272]]))
('creative', array([[ 0.96009424,  0.03990576]]))
('fill', array([[ 0.96008517,  0.03991483]]))

('special', array([[ 0.93328993,  0.06671007]]))
('committed', array([[ 0.93325452,  0.06674548]]))
('suspect', array([[ 0.93325232,  0.06674768]]))
('american', array([[ 0.93321731,  0.06678269]]))
('string', array([[ 0.93319938,  0.06680062]]))
('bar', array([[ 0.93317058,  0.06682942]]))
('1em', array([[ 0.93315241,  0.06684759]]))
('remark', array([[ 0.93314671,  0.06685329]]))
('plenty', array([[ 0.93314143,  0.06685857]]))
('dislike', array([[ 0.93313995,  0.06686005]]))
('authoritative', array([[ 0.93311457,  0.06688543]]))
('ancestors', array([[ 0.93305405,  0.06694595]]))
('kindly', array([[ 0.93304342,  0.06695658]]))
('major', array([[ 0.93303075,  0.06696925]]))
('falsely', array([[ 0.93301199,  0.06698801]]))
('rowspan', array([[ 0.93300194,  0.06699806]]))
('en', array([[ 0.93293119,  0.06706881]]))
('team', array([[ 0.93290525,  0.06709475]]))
('lawyer', array([[ 0.93290238,  0.06709762]]))
('damage', array([[ 0.93287181,  0.06712819]]))
('apparently', array([[ 0.9328654,  0.0671346]]))
('meet', array([[ 0.93285294,  0.06714706]]))
('nick', array([[ 0.93285173,  0.06714827]]))
('therefore', array([[ 0.93283961,  0.06716039]]))
('society', array([[ 0.93283673,  0.06716327]]))
('collection', array([[ 0.93278719,  0.06721281]]))
('cars', array([[ 0.93270671,  0.06729329]]))
('fashion', array([[ 0.93269575,  0.06730425]]))
('charges', array([[ 0.93268679,  0.06731321]]))
('box', array([[ 0.93265006,  0.06734994]]))
('behavior', array([[ 0.93257914,  0.06742086]]))
('typically', array([[ 0.93251038,  0.06748962]]))
('translated', array([[ 0.93246602,  0.06753398]]))
('congratulations', array([[ 0.93240142,  0.06759858]]))
('sort', array([[ 0.93236098,  0.06763902]]))
('signature', array([[ 0.93235031,  0.06764969]]))
('low', array([[ 0.93234137,  0.06765863]]))
('throw', array([[ 0.93230713,  0.06769287]]))
('writers', array([[ 0.93225154,  0.06774846]]))
('growing', array([[ 0.93224937,  0.06775063]]))
('bob', array([[ 0.93222121,  0.06777879]]))
('corrupt', array([[ 0.93211535,  0.06788465]]))
('cause', array([[ 0.93211509,  0.06788491]]))
('william', array([[ 0.93210571,  0.06789429]]))
('serves', array([[ 0.93203072,  0.06796928]]))
('allows', array([[ 0.93202545,  0.06797455]]))
('bot', array([[ 0.93201323,  0.06798677]]))
('notrhbysouthbanof', array([[ 0.93201125,  0.06798875]]))
('block', array([[ 0.9320103,  0.0679897]]))
('punishment', array([[ 0.93192441,  0.06807559]]))
('angry', array([[ 0.93190028,  0.06809972]]))
('conspiracy', array([[ 0.93189249,  0.06810751]]))
('fceb92', array([[ 0.93186879,  0.06813121]]))
('talks', array([[ 0.93186051,  0.06813949]]))
('gave', array([[ 0.93176278,  0.06823722]]))
('tv', array([[ 0.9317398,  0.0682602]]))
('whom', array([[ 0.93171274,  0.06828726]]))
('htm', array([[ 0.93171185,  0.06828815]]))
('genuine', array([[ 0.93168692,  0.06831308]]))
('cyprus', array([[ 0.93161491,  0.06838509]]))
('ll', array([[ 0.93159264,  0.06840736]]))
('vertical', array([[ 0.93158384,  0.06841616]]))
('loves', array([[ 0.9315349,  0.0684651]]))
('gone', array([[ 0.93153405,  0.06846595]]))
('problem', array([[ 0.93151978,  0.06848022]]))
('jay', array([[ 0.93148985,  0.06851015]]))
('warn', array([[ 0.93146889,  0.06853111]]))
('recognize', array([[ 0.93145046,  0.06854954]]))
('studied', array([[ 0.93130765,  0.06869235]]))
('replying', array([[ 0.93130665,  0.06869335]]))
('brown', array([[ 0.93130081,  0.06869919]]))
('water', array([[ 0.93124655,  0.06875345]]))
('fdffe7', array([[ 0.93118625,  0.06881375]]))
('returned', array([[ 0.9311282,  0.0688718]]))
('contemporary', array([[ 0.93107077,  0.06892923]]))
('internet', array([[ 0.93102836,  0.06897164]]))
('spics', array([[ 0.93098973,  0.06901027]]))
('jewish', array([[ 0.93096344,  0.06903656]]))
('perfect', array([[ 0.93092527,  0.06907473]]))
('iraq', array([[ 0.93087641,  0.06912359]]))
('immediately', array([[ 0.93081729,  0.06918271]]))
('defense', array([[ 0.93076812,  0.06923188]]))
('narrow', array([[ 0.9306866,  0.0693134]]))
('freely', array([[ 0.9306774,  0.0693226]]))
('dangerous', array([[ 0.93064861,  0.06935139]]))
('intelligence', array([[ 0.9306271,  0.0693729]]))
('weren', array([[ 0.93060712,  0.06939288]]))
('daniel', array([[ 0.93060034,  0.06939966]]))
('guilty', array([[ 0.93057978,  0.06942022]]))
('implying', array([[ 0.93054089,  0.06945911]]))
('james', array([[ 0.93049679,  0.06950321]]))
('5em', array([[ 0.93048924,  0.06951076]]))
('amounts', array([[ 0.93048494,  0.06951506]]))
('deserved', array([[ 0.93042613,  0.06957387]]))
('da', array([[ 0.93033781,  0.06966219]]))
('going', array([[ 0.9302426,  0.0697574]]))
('font', array([[ 0.9302336,  0.0697664]]))
('breaking', array([[ 0.93017461,  0.06982539]]))
('bear', array([[ 0.93007507,  0.06992493]]))
('easily', array([[ 0.9300363,  0.0699637]]))
('identical', array([[ 0.92998817,  0.07001183]]))
('serb', array([[ 0.92995521,  0.07004479]]))
('buddy', array([[ 0.92993761,  0.07006239]]))
('alot', array([[ 0.9299371,  0.0700629]]))
('beth', array([[ 0.92992768,  0.07007232]]))
('lose', array([[ 0.92987484,  0.07012516]]))
('anon', array([[ 0.92982822,  0.07017178]]))
('regard', array([[ 0.92981486,  0.07018514]]))
('la', array([[ 0.92980366,  0.07019634]]))
('musical', array([[ 0.92977434,  0.07022566]]))
('christ', array([[ 0.92975821,  0.07024179]]))
('occupied', array([[ 0.9297205,  0.0702795]]))
('genocide', array([[ 0.92971622,  0.07028378]]))
('shitfuck', array([[ 0.92965743,  0.07034257]]))
